id,date,capacity,traffic,an_id,an_name,region_name
1,2022-01-25,632,205,1,PBQ7X5JDYD,Brusići
2,2022-01-25,903,293,1,PBQ7X5JDYD,Brzac
3,2022-01-25,903,293,1,PBQ7X5JDYD,Kornić
4,2022-01-25,519,168,1,PBQ7X5JDYD,Milohnići
5,2022-01-25,632,205,1,PBQ7X5JDYD,Muraj
6,2022-01-25,519,168,1,PBQ7X5JDYD,Nenadići
7,2022-01-25,376,122,1,PBQ7X5JDYD,Vrh
8,2022-01-25,451,146,1,PBQ7X5JDYD,Žgaljići
9,2022-01-25,376,122,1,PBQ7X5JDYD,Baška
10,2022-01-25,1011,974,2,LHP09PJJNH,Kornić
11,2022-01-25,2427,2337,2,LHP09PJJNH,Krk
12,2022-01-25,1659,1597,2,LHP09PJJNH,Lakmartin
13,2022-01-25,1143,256,3,N1B1BNP4BF,Brzac
14,2022-01-25,1812,406,3,N1B1BNP4BF,Kornić
15,2022-01-25,2334,523,3,N1B1BNP4BF,Krk
16,2022-01-25,1371,307,3,N1B1BNP4BF,Lakmartin
17,2022-01-25,1290,289,3,N1B1BNP4BF,Nenadići
18,2022-01-25,1371,307,3,N1B1BNP4BF,Pinezići
19,2022-01-25,1013,227,3,N1B1BNP4BF,Poljica
20,2022-01-25,108,537,4,DRA7OZ2UFF,Brzac
21,2022-01-25,171,850,4,DRA7OZ2UFF,Kornić
22,2022-01-25,189,941,4,DRA7OZ2UFF,Krk
23,2022-01-25,129,644,4,DRA7OZ2UFF,Lakmartin
24,2022-01-25,101,505,4,DRA7OZ2UFF,Muraj
25,2022-01-25,158,786,4,DRA7OZ2UFF,Nenadići
26,2022-01-25,221,1096,4,DRA7OZ2UFF,Pinezići
27,2022-01-25,122,605,4,DRA7OZ2UFF,Poljica
28,2022-01-25,122,605,4,DRA7OZ2UFF,Baška
29,2022-01-25,129,644,4,DRA7OZ2UFF,Batomalj
30,2022-01-25,95,476,4,DRA7OZ2UFF,Draga Bašćanska
31,2022-01-25,600,3297,5,XEDEKWCXKH,Bajčići
32,2022-01-25,493,2711,5,XEDEKWCXKH,Brusići
33,2022-01-25,858,4710,5,XEDEKWCXKH,Linardići
34,2022-01-25,600,3296,5,XEDEKWCXKH,Milohnići
35,2022-01-25,686,3767,5,XEDEKWCXKH,Skrbčići
36,2022-01-25,858,4710,5,XEDEKWCXKH,Vrh
37,2022-01-25,428,2354,5,XEDEKWCXKH,Jurandvor
38,2022-01-25,357,1963,5,XEDEKWCXKH,Čižići
39,2022-01-25,486,998,6,DFOH4WOMLZ,Muraj
40,2022-01-25,746,1530,6,DFOH4WOMLZ,Nenadići
41,2022-01-25,798,1636,6,DFOH4WOMLZ,Pinezići
42,2022-01-25,583,1196,6,DFOH4WOMLZ,Poljica
43,2022-01-25,572,1173,6,DFOH4WOMLZ,Žgaljići
44,2022-01-25,1168,2394,6,DFOH4WOMLZ,Baška
45,2022-01-25,1002,2055,6,DFOH4WOMLZ,Batomalj
46,2022-01-25,686,1406,6,DFOH4WOMLZ,Draga Bašćanska
47,2022-01-25,539,1104,6,DFOH4WOMLZ,Dobrinj
48,2022-01-25,837,1716,6,DFOH4WOMLZ,Gabonjin
49,2022-01-25,906,1858,6,DFOH4WOMLZ,Gostinjac
