id,name,radius,capacity,traffic,loc_id,loc_x,loc_y,region_name
1,3QXHPKFL8W,128,563,4425,4500,12.74,45.18,Kornić
2,0MRJJYQLQU,121,2123,174,4501,12.77,45.22,Krk
3,QWXAL3UYFJ,151,2823,1873,4502,12.72,45.22,Krk
4,DGPL00CVDH,119,351,246,4503,12.80,45.21,Pinezići
5,NKAPNFR8YT,110,1181,449,4504,12.78,45.13,Vrh
6,NEOQEEE6GI,191,823,3023,4505,12.79,45.21,Baška
7,5E9XLU5LJN,101,996,1239,4506,12.81,45.28,Draga Bašćanska
8,MJ52LEZ0TE,75,404,453,4507,12.81,45.11,Jurandvor
9,GKSZX9JCW5,136,675,557,4508,12.86,45.18,Kras
10,N0OOBNQ3XM,92,512,2829,4509,12.83,45.18,Polje
11,TPLTCBOL6Z,263,532,3230,4510,12.91,45.24,Šilo
12,Q4XSCE6JFO,113,908,2345,4511,12.92,45.18,Bogovići
13,RFBQRZEIV0,191,940,2281,4512,12.97,45.09,Malinska
14,M6GRGBLXMA,235,583,2156,4513,12.93,45.19,Milčetići
15,A5I5JF7ZHD,147,1076,2314,4514,12.98,45.12,Radići
16,O7PXZOWNN4,218,449,3768,4515,13.00,45.28,Sveti Vid-Miholjice
17,AM6JNDGP0X,109,585,2375,4516,13.03,45.23,Njivice
18,3IW5CSW4T4,5,1956,2282,4517,13.00,45.26,Omišalj
19,FOVQYKEGIJ,131,1156,811,4518,13.03,45.09,Punat
20,9DKG3G315Z,57,1189,1496,4519,13.02,45.25,Vrbnik
