cus_id,cus_name,cus_phone,cus_email,type_id,type_name,type_desc,loc_id,loc_x,loc_y,region_name
1,Chef's Winds Eatery,+999175778519,chefswindseatery@example.com,2,COMPANY,Some description for company type,1,13.01,45.27,Omišalj
2,The Street Lodge,+999547503827,thestreetlodge@example.com,2,COMPANY,Some description for company type,2,12.99,45.28,Omišalj
3,Perfect Pineapple Tavern,+999861903341,perfectpineappletavern@example.com,2,COMPANY,Some description for company type,3,12.94,45.13,Malinska
4,Rock n' roll Pearl Pub,+999855640202,rocknrollpearlpub@example.com,2,COMPANY,Some description for company type,4,12.97,45.12,Malinska
5,Silver Sails House,+999125405795,silversailshouse@example.com,2,COMPANY,Some description for company type,5,12.96,45.13,Malinska
6,Twirling Cheer Cucina,+999410711090,twirlingcheercucina@example.com,2,COMPANY,Some description for company type,6,12.96,45.14,Malinska
7,Crazy Leaf House,+999542092284,crazyleafhouse@example.com,2,COMPANY,Some description for company type,7,13.01,45.28,Omišalj
8,Orange Lion Kitchen,+99919619817,orangelionkitchen@example.com,2,COMPANY,Some description for company type,8,12.97,45.09,Radići
9,Secret Amore Pubhouse,+999503688478,secretamorepubhouse@example.com,2,COMPANY,Some description for company type,9,12.97,45.11,Malinska
10,Legendary Thyme Kitchen,+999761490540,legendarythymekitchen@example.com,2,COMPANY,Some description for company type,10,12.77,45.14,Vrh
11,Craveable Nomad Chophouse,+999346237869,craveablenomadchophouse@example.com,2,COMPANY,Some description for company type,11,12.99,45.28,Omišalj
12,Last Grove Tastes & Taps,+999730924968,lastgrovetastestaps@example.com,2,COMPANY,Some description for company type,12,12.95,45.12,Malinska
13,Royal Horse Roadhouse,+999417820616,royalhorseroadhouse@example.com,2,COMPANY,Some description for company type,13,12.75,45.15,Muraj
14,Golden Plate Canteen,+999181413748,goldenplatecanteen@example.com,2,COMPANY,Some description for company type,14,13.03,45.27,Omišalj
15,Polka Dot Spark Trattoria,+999434941671,polkadotsparktrattoria@example.com,2,COMPANY,Some description for company type,15,12.90,45.18,Bogovići
16,Moonlit Canyon Provisions,+999776156806,moonlitcanyonprovisions@example.com,2,COMPANY,Some description for company type,16,13.01,45.24,Omišalj
17,Blond Star Trattoria,+9997846014,blondstartrattoria@example.com,2,COMPANY,Some description for company type,17,12.75,45.24,Krk
18,The Pig Bar and Grille,+999654652396,thepigbarandgrille@example.com,2,COMPANY,Some description for company type,18,13.02,45.25,Omišalj
19,Gypsy Hummingbird Eats,+999486130213,gypsyhummingbirdeats@example.com,2,COMPANY,Some description for company type,19,13.03,45.29,Omišalj
20,Ivory Kettle Place,+999632697432,ivorykettleplace@example.com,2,COMPANY,Some description for company type,20,13.03,45.28,Omišalj
21,Splendid Stallion Trattoria,+99926479649,splendidstalliontrattoria@example.com,2,COMPANY,Some description for company type,21,12.72,45.22,Krk
22,Hungry Lantern Cucina,+999385595193,hungrylanterncucina@example.com,2,COMPANY,Some description for company type,22,12.95,45.10,Radići
23,Bold Gloss Pub,+999799377591,boldglosspub@example.com,2,COMPANY,Some description for company type,23,13.01,45.26,Omišalj
24,Dashing Bite Cookery,+999113246193,dashingbitecookery@example.com,2,COMPANY,Some description for company type,24,12.99,45.22,Njivice
25,Hearty Falcon Roadhouse,+999797323073,heartyfalconroadhouse@example.com,2,COMPANY,Some description for company type,25,13.03,45.24,Omišalj
26,Uptown Lotus House,+999397941830,uptownlotushouse@example.com,2,COMPANY,Some description for company type,26,12.93,45.11,Malinska
27,Lone Plank Eats,+999945150569,loneplankeats@example.com,2,COMPANY,Some description for company type,27,13.03,45.26,Omišalj
28,King Root Lodge,+99962655357,kingrootlodge@example.com,2,COMPANY,Some description for company type,28,12.99,45.24,Omišalj
29,Festive Tryst Bottles & Bites,+999524042595,festivetrystbottlesbites@example.com,2,COMPANY,Some description for company type,29,13.01,45.25,Omišalj
30,Singing Traveler Bottles & Bites,+999832479445,singingtravelerbottlesbites@example.com,2,COMPANY,Some description for company type,30,13.04,45.10,Punat
31,Runaway Cove Cafe,+999514602462,runawaycovecafe@example.com,2,COMPANY,Some description for company type,31,12.97,45.10,Malinska
32,Proud Table Cafe,+999881794764,proudtablecafe@example.com,2,COMPANY,Some description for company type,32,13.03,45.27,Omišalj
33,Painted Tiger Ristorante,+999161140524,paintedtigerristorante@example.com,2,COMPANY,Some description for company type,33,12.75,45.17,Muraj
34,Blue Pie Chophouse,+999836662595,bluepiechophouse@example.com,2,COMPANY,Some description for company type,34,13.03,45.12,Punat
35,Shining Pug Cucina,+999955236088,shiningpugcucina@example.com,2,COMPANY,Some description for company type,35,13.03,45.10,Punat
36,Ginger Spoon Supper Club,+999820554145,gingerspoonsupperclub@example.com,2,COMPANY,Some description for company type,36,13.00,45.26,Omišalj
37,Daily Jest Canteen,+999668348870,dailyjestcanteen@example.com,2,COMPANY,Some description for company type,37,13.01,45.29,Omišalj
38,Enchanted Tractor Bar and Grille,+999484292645,enchantedtractorbarandgrille@example.com,2,COMPANY,Some description for company type,38,12.99,45.26,Omišalj
39,The Clover Pub,+999312314637,thecloverpub@example.com,2,COMPANY,Some description for company type,39,12.96,45.10,Malinska
40,Tilted Tap Cucina,+999332921751,tiltedtapcucina@example.com,2,COMPANY,Some description for company type,40,12.95,45.13,Malinska
41,Velvet Buddha Cucina,+99989432251,velvetbuddhacucina@example.com,2,COMPANY,Some description for company type,41,12.72,45.24,Krk
42,The Oak Eats,+99991640859,theoakeats@example.com,2,COMPANY,Some description for company type,42,12.83,45.11,Klanice
43,Lofty Plates Eatery,+999963093084,loftyplateseatery@example.com,2,COMPANY,Some description for company type,43,12.94,45.11,Malinska
44,Moonshine Trail House,+999549027057,moonshinetrailhouse@example.com,2,COMPANY,Some description for company type,44,12.94,45.10,Malinska
45,Slanted Merci Provisions,+999142571741,slantedmerciprovisions@example.com,2,COMPANY,Some description for company type,45,12.93,45.14,Malinska
